0056,元大高股息,市,12月12日,,35.58,0.11,0.31,"25,499",908,35.47,35.65,35.67,35.56,0.31,,,    ,    ,    ,    ,    
006205,富邦上証,市,12月12日,,27.67,0.31,1.13,769,21.3,27.36,27.53,27.76,27.53,0.84,,,    ,    ,    ,    ,    
006206,元大上證50,市,12月12日,,26.45,0.35,1.34,189,5,26.1,26.31,26.51,26.31,0.77,,,    ,    ,    ,    ,    
00633L,富邦上証正2,市,12月12日,,29.2,0.73,2.56,"6,384",187,28.47,29.25,29.42,28.98,1.55,,,    ,    ,    ,    ,    
00640L,富邦日本正2,市,12月12日,,41.96,-0.04,-0.1,748,31.6,42,42.4,42.5,41.93,1.36,,,    ,    ,    ,    ,    
00645,富邦日本,市,12月12日,,32.1,0,0,609,19.6,32.1,32.23,32.27,32.05,0.69,,,    ,    ,    ,    ,    
00646,元大S&P500,市,12月12日,,45.35,0.23,0.51,"2,094",94.9,45.12,45.1,45.37,45.1,0.6,,,    ,    ,    ,    ,    
00652,富邦印度,市,12月12日,,34.48,0.13,0.38,211,7.26,34.35,34.35,34.53,34.35,0.52,,,    ,    ,    ,    ,    
00657,國泰日經225,市,12月12日,,38.75,0.05,0.13,282,11,38.7,38.93,38.96,38.75,0.54,,,    ,    ,    ,    ,    
00660,元大歐洲50,市,12月12日,,32.87,0,0,29,0.96,32.87,32.9,33.06,32.87,0.58,,,    ,    ,    ,    ,    
00661,元大日經225,市,12月12日,,41.81,-0.04,-0.1,"1,107",46.4,41.85,42.03,42.1,41.81,0.69,,,    ,    ,    ,    ,    
00668,國泰美國道瓊,市,12月12日,,41.71,0.15,0.36,61,2.54,41.56,41.64,41.72,41.64,0.19,,,    ,    ,    ,    ,    
00679B,元大美債20年,櫃,12月12日,,29.9,0,0,"36,943","1,103",29.9,29.89,29.93,29.8,0.43,,,    ,    ,    ,    ,    
00687B,國泰20年美債,櫃,12月12日,,31.18,0.01,0.03,"75,781","2,357",31.17,31.15,31.18,31.05,0.42,,,    ,    ,    ,    ,    
00690,兆豐藍籌30,市,12月12日,,28.35,0.01,0.04,501,14.2,28.34,28.47,28.59,28.34,0.88,,,    ,    ,    ,    ,    
00692,富邦公司治理,市,12月12日,,31.73,0.09,0.28,"2,557",81.2,31.64,31.81,31.84,31.67,0.54,,,    ,    ,    ,    ,    
00693U,期街口S&P黃豆,市,12月12日,,27.42,0.34,1.26,76,2.09,27.08,27.54,27.6,27.42,0.66,,,    ,    ,    ,    ,    
00694B,富邦美債1-3,櫃,12月12日,,39.93,0.02,0.05,194,7.74,39.91,39.92,39.94,39.9,0.1,,,    ,    ,    ,    ,    
