1591,駿吉-KY,櫃,12月12日,,59.4,-0.5,-0.83,"20,804","1,304",59.9,63.9,65.8,56.6,15.4,,4.54,    ,    ,    ,    ,    
1593,祺驊,櫃,12月12日,,52.5,0.4,0.77,37,1.95,52.1,53.2,53.2,52,2.3,25.9,1.58,    ,    ,    ,    ,    
1597,直得,市,12月12日,,63,-1.9,-2.93,170,10.8,64.9,64.9,64.9,62.1,4.31,27.5,2.32,    ,    ,    ,    ,    
1720,生達,市,12月12日,,66.6,-0.9,-1.33,911,60.8,67.5,67.2,67.4,66.5,1.33,14,2.36,    ,    ,    ,    ,    
1722,台肥,市,12月12日,,64.5,0.2,0.31,"2,528",162,64.3,64.5,64.5,64,0.78,15,1.16,    ,    ,    ,    ,    
1726,永記,市,12月12日,,74.9,-0.1,-0.13,8,0.62,75,74.7,74.9,74.6,0.4,14.5,1.25,    ,    ,    ,    ,    
1730,花仙子,市,12月12日,,57.7,0.3,0.52,28,1.58,57.4,57.4,57.7,57.4,0.52,16.4,2.03,    ,    ,    ,    ,    
1736,喬山,市,12月12日,,67.9,-0.4,-0.59,455,31,68.3,68.4,68.8,67.6,1.76,34,2.17,    ,    ,    ,    ,    
1752,南光,市,12月12日,,55.8,-0.3,-0.53,442,24.8,56.1,56.1,56.5,55.8,1.25,14.3,2.34,    ,    ,    ,    ,    
1762,中化生,市,12月12日,,56.6,-0.5,-0.88,283,16.1,57.1,57.3,57.3,56.6,1.23,15.1,1.33,    ,    ,    ,    ,    
1784,訊聯,櫃,12月12日,,56.3,-0.4,-0.71,140,7.9,56.7,56.7,56.9,56.1,1.41,31.6,2.35,    ,    ,    ,    ,    
1903,士紙,市,12月12日,,56,0.6,1.08,120,6.72,55.4,55.7,56.4,55.6,1.44,224,3.58,    ,    ,    ,    ,    
2006,東和鋼鐵,市,12月12日,,71.9,0.7,0.98,"1,999",143,71.2,71.6,71.9,70.4,2.11,12.4,1.76,    ,    ,    ,    ,    
2013,中鋼構,市,12月12日,,52.7,0.1,0.19,46,2.42,52.6,52.6,52.9,52.5,0.76,22.3,2.04,    ,    ,    ,    ,    
2015,豐興,市,12月12日,,65.8,0.1,0.15,167,11,65.7,65.7,65.8,65.4,0.61,15.7,1.81,    ,    ,    ,    ,    
2031,新光鋼,市,12月12日,,51.3,-0.2,-0.39,685,35.2,51.5,51.8,51.8,51,1.55,11.1,1.56,    ,    ,    ,    ,    
2063,世鎧,櫃,12月12日,,59.2,0.5,0.85,270,16,58.7,58.7,59.4,58.7,1.19,11.9,2.65,    ,    ,    ,    ,    
2065,世豐,櫃,12月12日,,61,-0.2,-0.33,100,6.11,61.2,61.2,61.2,61,0.33,10.6,1.91,    ,    ,    ,    ,    
