4506,崇友,櫃,12月12日,,79.6,0.1,0.13,59,4.72,79.5,79.5,80,79.3,0.88,15.9,2.78,    ,    ,    ,    ,    
4549,桓達,櫃,12月12日,,90.2,0.2,0.22,10,0.87,90,90.5,90.5,90.2,0.33,18,2.85,    ,    ,    ,    ,    
4569,六方科-KY,市,12月12日,,92.4,1.9,2.1,74,6.8,90.5,92.8,93,90.8,2.43,20.5,1.1,    ,    ,    ,    ,    
4571,鈞興-KY,市,12月12日,,79.1,0.7,0.89,38,3.01,78.4,77.9,79.1,77.9,1.53,16.4,1.6,    ,    ,    ,    ,    
4580,捷流閥業,櫃,12月12日,,92,-1,-1.08,142,13.1,93,92.5,92.5,91.9,0.65,12.2,1.8,    ,    ,    ,    ,    
4721,美琪瑪,櫃,12月12日,,90.5,0.6,0.67,410,37.1,89.9,90.5,91.1,90.2,1,,6.07,    ,    ,    ,    ,    
4737,華廣,市,12月12日,,75.6,-0.4,-0.53,57,4.3,76,74.6,75.6,74.6,1.32,194,2.35,    ,    ,    ,    ,    
4739,康普,市,12月12日,,78.1,-0.5,-0.64,388,30.5,78.6,78.6,79.8,78.1,2.16,,1.67,    ,    ,    ,    ,    
4746,台耀,市,12月12日,,99.8,-1.7,-1.67,"2,113",212,101.5,101.5,102.5,99.5,2.96,44.4,1.63,    ,    ,    ,    ,    
4747,強生,櫃,12月12日,,86,-1.2,-1.38,112,9.7,87.2,87.2,87.6,86,1.83,34.8,2.16,    ,    ,    ,    ,    
4904,遠傳,市,12月12日,,80,0.2,0.25,"3,371",269,79.8,80.7,80.7,79.3,1.75,24,4.28,    ,    ,    ,    ,    
4905,台聯電,櫃,12月12日,,80.8,0.1,0.12,62,5.09,80.7,81.5,83,80.8,2.73,13.5,0.85,    ,    ,    ,    ,    
4908,前鼎,櫃,12月12日,,95.6,-9.9,-9.38,"18,729","1,860",105.5,105.5,105.5,95.2,9.76,38.1,4.64,    ,    ,    ,    ,    
4912,聯德控股-KY,市,12月12日,,84.9,0.4,0.47,30,2.55,84.5,85.4,85.4,84.3,1.3,30.6,1.52,    ,    ,    ,    ,    
4938,和碩,市,12月12日,,83.1,0.6,0.73,"6,228",517,82.5,82.9,83.4,82.6,0.97,14.1,1.16,    ,    ,    ,    ,    
4945,陞達科技,櫃,12月12日,,85,-2.1,-2.41,525,45.5,87.1,87.6,89.5,85,5.17,85,3.9,    ,    ,    ,    ,    
4967,十銓,市,12月12日,,92,-0.9,-0.97,"23,821","2,201",92.9,94.7,95.4,89.8,6.03,57.9,3.21,    ,    ,    ,    ,    
4977,眾達-KY,市,12月12日,,77.2,0,0,"1,222",95.7,77.2,78.5,80,77.1,3.76,11,1.57,    ,    ,    ,    ,    
5203,訊連,市,12月12日,,92.9,0,0,308,28.8,92.9,93.3,94,92.2,1.94,44.7,1.52,    ,    ,    ,    ,    
5234,達興材料,市,12月12日,,93.5,-1.3,-1.37,472,44.3,94.8,94.8,95.1,93.4,1.79,19.1,3.17,    ,    ,    ,    ,    
5312,寶島科,櫃,12月12日,,85,1.6,1.92,263,22.2,83.4,83.5,85.4,82.8,3.12,14.6,1.82,    ,    ,    ,    ,    
5321,美而快,櫃,12月12日,,86.9,-0.8,-0.91,258,22.6,87.7,88.5,88.6,86.9,1.94,27.7,5.52,    ,    ,    ,    ,    
5347,世界,櫃,12月12日,,79.6,1,1.27,"7,935",628,78.6,79.3,79.8,78.7,1.4,17.5,2.97,    ,    ,    ,    ,    
5425,台半,櫃,12月12日,,86.3,-0.9,-1.03,"2,922",255,87.2,88.8,88.8,86.3,2.87,23.1,2.76,    ,    ,    ,    ,    
5508,永信建,櫃,12月12日,,90.6,0,0,618,55.6,90.6,90.1,90.7,89.5,1.32,10.4,3.29,    ,    ,    ,    ,    
5520,力泰,櫃,12月12日,,76,-3.5,-4.4,87,6.72,79.5,81.3,81.3,74.5,8.55,10.7,2,    ,    ,    ,    ,    
5534,長虹,市,12月12日,,77.3,-0.1,-0.13,396,30.6,77.4,77.5,77.6,76.9,0.9,16.6,1.21,    ,    ,    ,    ,    
5609,中菲行,櫃,12月12日,,81.7,1.5,1.87,547,44.4,80.2,81,81.7,80.6,1.37,9.74,1.94,    ,    ,    ,    ,    
5871A,中租-KY甲特,市,12月12日,,96.8,0.1,0.1,4,0.43,96.7,96.8,96.8,96.8,0,,,    ,    ,    ,    ,    
6111,大宇資,櫃,12月12日,,76.4,-0.1,-0.13,"1,806",139,76.5,78,78.2,76,2.88,35.7,4.62,    ,    ,    ,    ,    
6117,迎廣,市,12月12日,,77.7,6.2,8.67,"3,163",239,71.5,74,78.2,72.8,7.55,1295,5.97,    ,    ,    ,    ,    
